"outcome","miss_p","spec","rho"
"life",0.5,"noZ",0.363
"life",0.5,"withZ",0.351
"life",0.65,"noZ",0.401
"life",0.65,"withZ",0.392
"life",0.8,"noZ",0.45
"life",0.8,"withZ",0.437
"economy",0.5,"noZ",0.109
"economy",0.5,"withZ",0.106
"economy",0.65,"noZ",0.121
"economy",0.65,"withZ",0.114
"economy",0.8,"noZ",0.138
"economy",0.8,"withZ",0.12
"unemployment",0.5,"noZ",0.14
"unemployment",0.5,"withZ",0.136
"unemployment",0.65,"noZ",0.152
"unemployment",0.65,"withZ",0.147
"unemployment",0.8,"noZ",0.168
"unemployment",0.8,"withZ",0.161
"media",0.5,"noZ",0.011
"media",0.5,"withZ",0.003
"media",0.65,"noZ",0.008
"media",0.65,"withZ",0.01
"media",0.8,"noZ",0.006
"media",0.8,"withZ",0.025
"votes_accurate",0.5,"noZ",-0.064
"votes_accurate",0.5,"withZ",-0.051
"votes_accurate",0.65,"noZ",-0.075
"votes_accurate",0.65,"withZ",-0.051
"votes_accurate",0.8,"noZ",-0.088
"votes_accurate",0.8,"withZ",-0.039
"religion",0.5,"noZ",0.146
"religion",0.5,"withZ",0.149
"religion",0.65,"noZ",0.165
"religion",0.65,"withZ",0.17
"religion",0.8,"noZ",0.19
"religion",0.8,"withZ",0.199
"abortions",0.5,"noZ",-0.036
"abortions",0.5,"withZ",-0.016
"abortions",0.65,"noZ",-0.043
"abortions",0.65,"withZ",-0.016
"abortions",0.8,"noZ",-0.05
"abortions",0.8,"withZ",-0.006
"death",0.5,"noZ",0.039
"death",0.5,"withZ",0.054
"death",0.65,"noZ",0.042
"death",0.65,"withZ",0.058
"death",0.8,"noZ",0.046
"death",0.8,"withZ",0.068
