"block","dependent_variable","coef_online","se","t","p","n","controls"
"Relevance","int_rating (1 liked -- 7 disliked)",-0.0743024107297788,0.019221172158582,-3.8656545041455,0.000114445782102615,1946,"married + black + factor(gender_spouse) + factor(education)"
"Relevance","seriously (1 never -- 5 always)",0.0184233640387873,0.00961301043590692,1.91650307274936,0.0554481765696862,1946,"married + black + factor(gender_spouse) + factor(education)"
"Exclusion","Life satisfaction",-0.0122963174905302,0.012913621285309,-0.95219746799598,0.3411157066885,1946,"married + black + factor(gender_spouse) + factor(education)"
"Exclusion","National economy",0.0118507488701823,0.0170102977915186,0.696680858585033,0.486086525447359,1938,"married + black + factor(gender_spouse) + factor(education)"
"Exclusion","Unemployment",0.00691472283125727,0.0147732273477282,0.468057701171207,0.639796424844354,1931,"married + black + factor(gender_spouse) + factor(education)"
"Exclusion","Media trust",-0.0172284184667143,0.0140158607565637,-1.22920873472905,0.219143239541388,1942,"married + black + factor(gender_spouse) + factor(education)"
"Exclusion","Votes counted accurately",-0.0225590164954876,0.0157586690887771,-1.43153056697875,0.152439955309778,1942,"married + black + factor(gender_spouse) + factor(education)"
"Exclusion","Religion important",-0.0209264563742582,0.0192056198409571,-1.08960067665358,0.276024899764233,1943,"married + black + factor(gender_spouse) + factor(education)"
"Exclusion","Abortion important",-0.0189821489749433,0.0148002558348209,-1.28255546301325,0.199801637076665,1943,"married + black + factor(gender_spouse) + factor(education)"
"Exclusion","Death penalty",0.0133894112535417,0.0143362698226033,0.933953630841355,0.35044512789136,1932,"married + black + factor(gender_spouse) + factor(education)"
